S,C_soul
3.040201005025125802e+00,3.712686567164178997e-01
3.065326633165829318e+00,3.689740420271940269e-01
3.090452261306532833e+00,3.667076167076167015e-01
3.115577889447236348e+00,3.644688644688645063e-01
3.140703517587939864e+00,3.622572815533980362e-01
3.165829145728643379e+00,3.600723763570566338e-01
3.190954773869346894e+00,3.579136690647481966e-01
3.216080402010050410e+00,3.557806912991656745e-01
3.241206030150753925e+00,3.536729857819905232e-01
3.266331658291457440e+00,3.515901060070670825e-01
3.291457286432160956e+00,3.495316159250585475e-01
3.316582914572864471e+00,3.474970896391152975e-01
3.341708542713567986e+00,3.454861111111111049e-01
3.366834170854271502e+00,3.434982738780206768e-01
3.391959798994975017e+00,3.415331807780320195e-01
3.417085427135678533e+00,3.395904436860068265e-01
3.442211055276382048e+00,3.376696832579185181e-01
3.467336683417085563e+00,3.357705286839144931e-01
3.492462311557789079e+00,3.338926174496644195e-01
3.517587939698492594e+00,3.320355951056729871e-01
3.542713567839196109e+00,3.301991150442477596e-01
3.567839195979899625e+00,3.283828382838283599e-01
3.592964824120603140e+00,3.265864332603938824e-01
3.618090452261306655e+00,3.248095756256801359e-01
3.643216080402010171e+00,3.230519480519480346e-01
3.668341708542713686e+00,3.213132400430570024e-01
3.693467336683417201e+00,3.195931477516059660e-01
3.718592964824120717e+00,3.178913738019169544e-01
3.743718592964824232e+00,3.162076271186440857e-01
3.768844221105527748e+00,3.145416227608008319e-01
3.793969849246231263e+00,3.128930817610062753e-01
3.819095477386934778e+00,3.112617309697601753e-01
3.844221105527638294e+00,3.096473029045643255e-01
3.869346733668341809e+00,3.080495356037151189e-01
3.894472361809045324e+00,3.064681724845995658e-01
3.919597989949748840e+00,3.049029622063330058e-01
3.944723618090452355e+00,3.033536585365853577e-01
3.969849246231155870e+00,3.018200202224468609e-01
3.994974874371859386e+00,3.003018108651911433e-01
4.020100502512563345e+00,2.987987987987987815e-01
4.045226130653266416e+00,2.973107569721115673e-01
4.070351758793970376e+00,2.958374628344895840e-01
